Familia;Vivienda1;Vivienda2;Vivienda3;Vivienda4
182;13;7;25;17
183;17;8;25;11
184;15;11;27;12
185;12;7;23;13
186;13;11;25;17
187;19;10;20;13
188;19;12;24;16
189;12;11;26;16
190;15;13;28;11
191;17;7;23;17
192;12;11;24;11
193;11;9;18;15
194;19;12;27;17
195;11;8;28;12
196;19;12;28;17
197;11;13;27;12
198;17;7;28;13
199;18;7;23;14
200;12;9;26;11
201;11;9;22;11
202;11;10;28;15
203;11;10;28;17
204;13;7;26;12
205;13;13;25;12
206;16;8;25;17
207;16;11;21;12
208;11;7;22;13
209;13;10;28;16
210;15;11;21;16
211;19;7;26;17
212;13;11;27;17
213;18;7;19;17
214;12;9;26;16
215;19;9;23;12
216;12;9;22;13
217;18;7;27;17
218;17;11;25;15
219;15;13;25;12
220;11;7;21;16
221;15;9;27;17
222;19;8;26;12
223;12;7;27;16
224;16;8;21;15
225;16;13;19;12
226;13;13;27;13
227;18;12;21;14
228;14;8;25;14
229;11;11;26;15
230;13;12;19;16
231;11;12;23;17
232;18;13;22;11
233;14;9;21;11
234;13;7;24;14
235;12;9;24;12
236;11;9;22;11
237;13;9;27;15
238;15;11;25;14
239;19;11;22;14
240;18;12;24;12
241;13;12;26;14
242;15;8;24;16
243;16;12;22;17
244;17;10;19;17
245;18;11;20;11
246;15;9;25;17
247;14;8;19;14
248;14;12;19;13
249;15;12;19;11
250;19;9;19;15
251;11;11;20;16
252;17;8;20;16
253;17;11;18;14
254;12;11;27;14
255;14;8;25;17
256;15;12;26;16
257;14;11;20;12
258;19;9;26;16
259;15;7;18;14
260;13;10;28;14
261;18;11;25;13
262;19;8;24;13
263;13;10;19;11
264;13;7;27;14
265;13;8;28;13
266;17;8;28;12
267;16;9;18;12
268;13;9;27;13
269;12;13;18;15
270;12;8;19;11
271;18;9;18;11
272;13;10;23;14
273;18;9;18;14
274;11;11;24;16
275;17;13;26;12
276;12;7;23;15
277;15;11;22;11
278;18;10;20;14
279;12;11;27;13
280;14;9;28;17
281;12;13;24;14
282;18;7;25;16
283;12;7;23;11
284;14;13;26;16
285;11;7;26;12
286;14;13;18;11
287;19;11;19;11
288;12;9;19;16
289;14;9;19;13
290;14;9;26;14
291;12;7;19;13
292;16;12;25;11
293;14;13;21;11
294;12;13;22;15
295;19;11;20;12
296;13;12;21;16
297;13;12;20;17
298;13;8;20;16
299;17;10;23;16
300;19;8;25;17
301;13;10;23;17
302;19;8;25;12
303;14;11;19;17
304;15;10;18;14
305;15;9;19;15
306;18;12;23;16
307;16;7;23;12
308;16;8;22;14
309;15;12;23;12
310;14;12;25;11
311;12;12;28;17
312;11;12;18;15
313;15;7;23;15
314;18;7;21;17
315;14;12;21;12
316;17;12;27;12
317;19;7;18;11
318;11;8;24;14
319;13;12;28;12
320;15;7;22;12
321;17;8;25;12
322;17;9;24;11
323;15;10;26;15
324;19;11;19;17
325;15;10;24;13
326;11;11;28;11
327;18;12;22;17
328;14;7;25;15
329;11;10;20;12
330;18;13;19;11
331;17;8;28;11
332;14;11;27;16
333;16;7;23;14
334;12;13;23;16
335;15;10;18;15
336;11;10;18;14
337;18;13;27;11
338;16;10;23;13
339;12;12;23;16
340;14;13;27;15
341;16;10;25;12
342;13;7;19;17
343;13;13;18;17
344;11;11;27;12
345;18;9;25;11
346;17;12;19;11
347;18;10;28;13
348;12;10;18;13
349;19;13;20;17
350;18;9;28;12
351;14;12;21;15
352;15;11;21;16
353;15;13;21;13
354;14;10;18;17
355;16;12;27;14
356;15;7;18;12
357;14;9;18;12
358;14;10;23;17
359;13;9;26;13
360;17;13;22;17
361;19;9;21;16
362;19;13;26;14
363;16;13;18;15
364;17;10;18;15
365;12;7;24;15
366;11;9;21;11
367;17;9;19;14
368;12;13;18;17
369;11;7;27;14
370;17;13;22;16
371;16;12;21;14
372;12;8;19;12
373;16;8;23;11
374;16;12;20;14
375;16;7;25;12
376;15;12;23;15
377;18;10;23;11
378;15;11;22;15
379;17;9;27;13
380;13;7;24;14
381;13;10;20;14
382;14;11;24;13
383;16;11;19;11
384;13;12;19;14
385;11;12;18;15
386;13;11;27;14
387;19;7;27;12
388;15;7;27;13
389;19;11;24;12
390;12;11;25;11
391;12;8;18;16
392;15;8;27;17
393;17;13;21;16
394;16;12;21;17
395;15;10;26;15
396;16;13;24;14
397;18;11;24;13
398;11;9;28;17
399;12;10;23;15
400;15;10;27;13
401;18;8;23;16
402;11;11;23;16
403;17;13;27;15
404;17;8;28;17
405;17;8;22;15
406;12;7;23;13
407;15;9;27;12
408;15;10;28;16
409;13;11;23;13
410;12;10;23;16
411;12;10;25;16
412;18;12;28;14
413;13;9;20;15
414;18;10;26;15
415;15;12;19;15
416;14;10;26;12
417;17;11;22;17
418;11;8;27;17
419;11;8;18;14
420;19;12;21;16
421;18;12;23;15
422;19;9;18;17
423;13;10;27;17
424;14;10;22;17
425;18;11;20;17
426;13;10;22;15
427;17;13;27;14
428;15;7;25;15
429;14;9;22;11
430;16;13;25;11
431;11;13;28;15
432;19;13;27;14
433;17;11;24;12
434;15;7;19;15
435;11;13;26;14
436;16;7;21;17
437;16;11;18;14
438;11;9;28;13
439;11;12;19;12
440;19;13;22;12
441;14;12;20;14
442;15;8;20;16
443;18;10;25;14
444;14;8;24;17
445;16;12;25;16
446;11;13;21;13
447;17;13;26;17
448;13;7;22;13
449;16;10;27;13
450;13;11;18;12
451;15;11;21;15
452;12;10;27;15
453;12;12;25;12
454;14;7;27;12
455;17;11;27;11
456;13;9;23;15
457;15;11;24;17
458;14;12;26;13
459;16;12;19;13
460;18;12;22;12
461;14;7;20;15
462;12;12;26;12
463;13;12;27;12
464;19;13;21;12
465;11;11;19;13
466;12;11;22;11
467;13;9;24;17
468;19;7;24;12
469;13;9;23;14
470;18;11;20;13
471;12;13;22;12
472;13;13;25;12
473;18;13;25;13
474;13;8;24;13
475;18;11;18;14
476;18;8;23;13
477;18;10;28;14
478;18;8;20;13
479;13;12;23;15
480;18;9;28;14
481;17;8;26;17
482;18;8;22;12
483;14;8;22;13
484;11;12;26;12
485;11;10;19;16
486;17;7;21;16
487;15;13;21;17
488;13;13;24;15
489;13;9;28;12
490;19;13;19;15
491;19;8;24;12
492;18;8;23;15
493;19;12;24;12
494;12;8;23;14
495;11;7;18;16
496;17;10;28;13
497;13;11;23;15
498;11;13;22;12
499;14;13;25;12
500;15;12;19;12
501;12;10;25;15
502;15;7;26;16
503;19;10;27;15
504;18;9;25;11
505;19;11;27;12
506;17;12;23;13
507;19;12;21;11
508;16;10;21;14
509;19;13;18;15
510;15;9;19;14
511;19;13;19;14
512;13;8;23;15
513;19;7;23;14
514;18;13;19;13
515;13;10;25;17
516;19;8;27;12
517;15;13;18;15
518;12;13;27;17
519;14;11;20;14
520;19;7;28;17
521;12;13;20;15
522;11;11;24;11
523;11;10;22;13
524;17;9;20;14
525;12;11;27;14
526;16;9;19;16
527;19;12;28;11
528;12;9;19;14
529;19;7;26;15
530;16;9;18;13
531;12;9;28;15
532;19;13;22;13
533;16;7;25;14
534;19;12;20;15
535;12;8;20;16
536;13;13;25;12
537;16;13;28;17
538;13;9;22;14
539;17;7;23;17
540;18;13;22;15
541;19;10;25;16
542;16;7;22;14
543;16;10;27;11
544;15;10;28;15
545;19;13;25;14
546;19;13;23;14
547;11;11;20;13
548;16;8;25;17
549;19;12;21;12
550;15;13;19;11
551;19;13;21;13
552;16;9;24;15
553;15;12;21;14
554;11;13;25;11
555;15;8;24;17
556;18;9;20;15
557;14;11;23;11
558;14;13;21;17
559;11;12;26;14
560;15;13;21;17
561;15;13;20;13
562;18;8;25;17
563;14;9;28;14
564;11;9;19;16
565;15;10;22;13
566;15;10;25;13
567;16;12;22;14
568;18;7;28;11
569;18;7;19;12
570;19;12;24;12
571;14;7;23;16
572;17;12;28;11
573;16;11;22;17
574;19;12;23;13
575;18;7;18;13
576;18;13;19;11
577;18;7;22;12
578;17;8;27;13
579;16;13;20;11
580;11;9;27;15
581;14;7;19;15
582;12;7;28;15
583;12;7;19;16
584;12;8;26;12
585;13;10;22;11
586;13;11;24;12
587;17;8;27;12
588;17;7;24;13
589;17;13;27;13
590;18;10;24;17
591;15;9;22;16
592;12;8;22;17
593;14;13;23;16
594;11;7;28;12
595;16;10;25;17
596;19;8;21;11
597;11;13;23;14
598;19;9;22;11
599;17;13;21;13
600;17;11;27;12
601;13;12;22;13
602;17;9;23;17
603;11;7;28;17
604;15;7;24;13
605;11;8;27;15
606;13;9;18;13
607;14;12;19;11
608;12;8;22;15
609;12;11;26;16
610;18;9;20;16
611;16;9;28;12
612;15;11;26;14
613;17;13;22;12
614;11;8;20;13
615;17;10;20;11
616;17;10;20;11
617;17;10;24;13
618;13;12;23;12
619;17;10;26;11
620;14;12;28;15
621;15;12;19;15
622;19;10;23;11
623;17;9;23;13
624;17;8;18;16
625;11;9;20;13
626;17;13;28;14
627;11;12;18;12
628;19;13;20;12
629;18;9;26;15
630;19;8;20;11
631;11;11;20;17
632;13;13;25;14
633;14;11;23;15
634;11;11;28;17
635;13;8;26;13
636;14;8;24;11
637;17;7;25;14
638;11;10;19;14
639;11;8;26;14
640;12;9;24;13
641;17;12;22;16
642;11;10;23;12
643;16;9;26;13
644;16;7;21;11
645;16;13;25;17
646;13;7;23;11
647;11;7;25;14
648;11;8;20;12
649;19;8;21;15
650;17;12;20;11
651;15;9;25;13
652;16;12;20;16
653;15;11;27;12
654;18;9;26;15
655;17;8;20;12
656;11;10;27;12
657;11;11;23;12
658;13;12;19;13
659;14;8;19;13
660;16;10;20;12
661;14;10;18;16
662;19;11;18;13
663;11;7;24;15
664;18;8;26;12
665;19;11;19;17
666;12;13;22;11
667;14;9;19;13
668;13;7;20;12
669;18;7;18;17
670;17;8;25;13
671;18;10;28;13
672;17;9;18;11
673;16;8;20;17
674;17;7;22;17
675;17;7;20;15
676;18;11;23;12
677;17;7;23;15
678;13;13;23;15
679;18;7;20;13
680;14;8;23;16
681;15;12;25;15
682;16;7;24;17
683;19;7;20;13
684;11;9;21;12
685;13;7;25;11
686;13;12;23;15
687;11;7;28;12
688;19;12;28;12
689;11;11;22;14
690;15;7;21;17
691;17;8;27;14
692;19;11;25;11
693;13;9;18;15
694;18;9;22;11
695;11;8;19;17
696;12;9;27;14
697;16;9;27;16
698;15;9;21;17
699;14;10;25;16
700;16;7;27;12
701;17;8;19;14
702;19;13;26;13
703;17;11;23;14
704;14;8;22;15
705;19;7;27;17
706;16;10;28;17
707;18;7;19;12
708;18;10;22;16
709;15;10;21;15
710;18;9;22;13
711;11;8;28;17
712;19;10;23;13
713;16;11;23;15
714;15;10;20;17
715;13;10;21;11
716;14;10;21;11
717;12;11;20;12
718;11;7;18;13
719;18;8;21;14
720;11;7;26;17
721;19;8;24;13
722;17;9;18;14
723;14;9;21;14
724;19;7;26;12
725;12;10;19;11
726;12;9;18;12
727;12;8;21;12
728;17;13;23;13
729;17;10;22;16
730;14;11;25;11
731;16;7;22;13
732;13;10;22;12
733;16;10;27;15
734;16;13;21;13
735;16;8;26;11
736;17;10;22;11
737;17;9;26;13
738;19;12;23;12
739;16;9;26;12
740;18;9;20;15
741;11;11;22;17
742;14;10;28;17
743;19;12;20;12
744;15;9;18;17
745;18;7;22;15
746;16;13;21;11
747;14;9;22;16
748;17;10;19;15
749;16;9;19;14
750;15;11;23;14
751;17;7;28;13
752;15;10;18;12
753;13;12;20;13
754;14;10;26;17
755;13;9;28;11
756;19;12;20;11
757;11;12;28;14
758;14;8;27;17
759;14;8;24;17
760;13;9;19;17
761;14;13;23;11
762;18;13;23;12
763;16;12;18;14
764;15;9;18;17
765;16;13;19;15
766;14;7;26;17
767;15;12;22;17
768;18;8;23;13
769;18;7;22;16
770;14;11;27;16
771;15;13;27;16
772;17;7;25;13
773;19;12;18;16
774;11;11;21;15
775;14;13;22;12
776;19;13;25;12
777;15;8;24;16
778;16;7;19;16
779;19;9;18;11
780;15;10;19;16
781;11;12;25;13
782;13;12;20;11
783;12;12;26;14
784;18;10;28;11
785;17;11;26;13
786;19;9;25;11
787;19;8;26;13
788;11;8;22;11
789;16;11;27;14
790;12;8;28;17
791;11;13;25;17
792;18;11;19;17
793;14;11;27;13
794;15;8;23;11
795;16;13;24;11
796;16;13;20;17
797;19;12;22;12
798;17;11;27;11
799;13;7;21;11
800;12;8;23;15
801;12;7;18;11
802;18;12;24;11
803;11;8;25;12
804;14;10;19;14
805;19;10;21;14
806;15;8;26;11
807;12;12;18;11
808;13;8;18;16
809;19;13;27;17
810;12;9;22;13
811;16;13;23;14
812;15;10;23;16
813;19;10;22;17
814;19;13;27;15
815;14;8;27;15
816;13;12;22;15
817;17;9;19;17
818;18;7;23;13
819;13;13;28;12
820;18;10;28;11
821;11;8;24;14
822;19;9;26;12
823;18;12;26;14
824;12;7;21;13
825;12;7;26;12
826;14;10;21;11
827;19;13;22;13
828;15;8;23;15
829;12;7;23;14
830;15;9;25;13
831;17;11;27;14
832;17;8;21;13
833;14;8;27;16
834;18;13;25;12
835;14;7;26;15
836;13;9;24;16
837;11;8;28;14
838;14;10;22;13
839;14;12;18;12
840;11;10;23;17
841;14;12;20;14
842;18;7;25;16
843;15;9;20;12
844;15;8;23;15
845;16;9;21;15
846;19;10;19;15
847;19;12;26;13
848;11;8;28;17
849;16;7;20;14
850;19;10;20;16
851;18;7;21;17
852;13;10;26;11
853;18;9;28;13
854;14;7;23;17
855;14;10;28;12
856;13;12;20;12
857;11;12;23;16
858;19;9;25;17
859;19;7;19;12
860;11;9;25;15
861;16;8;18;11
862;15;13;22;14
863;18;13;28;11
864;17;9;18;13
865;15;10;25;14
866;17;10;25;13
867;16;10;20;12
868;15;12;26;17
869;14;13;27;14
870;14;13;28;16
871;11;8;23;12
872;19;9;26;17
873;15;11;24;14
874;13;10;28;12
875;15;13;25;11
876;19;13;26;14
877;18;13;22;12
878;18;7;20;14
879;18;13;26;16
880;17;9;21;13
881;13;13;18;17
882;16;9;28;14
883;13;10;24;11
884;15;7;20;16
885;12;13;20;13
886;12;9;22;13
887;19;8;25;14
888;13;7;26;16
889;13;11;27;15
890;16;9;23;12
891;16;13;21;14
892;18;11;26;13
893;19;13;21;12
894;18;7;22;16
895;19;8;20;16
896;13;7;24;17
897;19;7;22;16
898;13;12;25;13
899;16;9;27;17
900;17;12;19;12
901;13;8;20;15
902;14;8;26;11
903;15;11;27;17
904;18;10;18;14
905;19;7;27;12
906;11;7;28;14
907;12;12;27;15
908;13;13;23;16
909;13;10;20;15
910;12;10;19;11
911;11;9;26;17
912;13;7;28;11
913;13;10;20;16
914;15;12;22;11
915;16;10;19;12
916;12;10;27;14
917;14;12;24;13
918;11;9;25;14
919;13;10;18;12
920;14;8;18;13
921;17;13;19;17
922;13;11;20;13
923;17;8;28;12
924;16;11;25;11
925;14;7;26;16
926;19;8;19;16
927;16;9;21;15
928;13;12;28;14
929;16;8;18;13
930;17;7;19;17
931;19;11;28;11
932;16;13;18;15
933;11;7;28;11
934;11;13;21;17
935;12;12;18;11
936;12;10;23;15
937;11;11;26;14
938;19;8;19;11
939;12;7;28;16
940;11;13;28;15
941;19;9;27;14
942;12;8;25;11
943;19;10;28;16
944;19;10;27;15
945;19;11;19;15
946;12;12;18;14
947;14;13;21;17
948;19;10;23;16
949;11;10;20;16
950;15;11;23;16
951;11;10;23;12
952;19;12;19;14
953;18;11;28;16
954;19;9;26;16
955;16;7;22;13
956;15;12;24;13
957;15;11;28;13
958;17;13;27;12
959;15;7;25;15
960;17;9;28;16
961;15;13;21;15
962;17;12;27;16
963;13;11;27;13
964;16;13;26;12
965;11;9;24;11
966;16;10;24;11
967;19;9;22;17
968;19;13;24;12
969;18;10;24;17
970;14;8;23;15
971;14;12;20;12
972;18;11;27;15
973;15;11;26;17
974;18;12;27;14
975;14;9;26;12
976;19;10;25;11
977;15;9;28;14
978;18;12;25;12
979;12;9;20;13
980;11;9;20;14
981;19;11;22;12
982;16;11;28;14
983;19;13;21;16
984;17;11;28;11
985;17;7;25;12
986;18;11;21;17
987;13;12;27;16
988;18;9;25;11
989;17;9;25;14
990;19;12;18;11
991;16;8;22;17
992;18;13;26;16
993;14;11;24;13
994;13;7;26;16
995;17;13;20;11
996;18;9;25;11
997;19;8;20;12
998;12;11;26;12
999;12;12;23;12
1000;15;12;19;12
1001;17;7;22;12
1002;11;11;27;13
1003;17;7;18;16
1004;14;13;21;12
1005;11;9;22;17
1006;11;11;21;15
1007;16;9;21;11
1008;15;7;25;11
1009;15;13;20;13
1010;13;9;27;11
1011;12;9;21;14
1012;17;11;28;12
1013;16;11;21;12
1014;12;10;18;15
1015;19;13;19;15
1016;15;10;25;16
1017;16;11;23;15
1018;13;10;28;14
1019;19;13;26;15
1020;12;8;28;14
1021;11;12;22;17
1022;12;9;19;15
1023;19;7;28;17
1024;19;13;19;15
1025;19;9;24;14
1026;14;11;25;17
1027;15;9;27;11
1028;16;13;26;17
1029;14;10;25;16
1030;15;13;25;14
1031;16;9;22;13
1032;14;11;20;15
1033;11;7;23;11
1034;16;11;18;13
1035;14;13;21;16
1036;16;10;26;14
1037;16;11;20;16
1038;12;13;18;13
1039;13;7;24;16
1040;16;9;21;17
1041;13;8;18;15
1042;17;13;26;13
1043;17;7;20;17
1044;13;9;24;14
1045;13;12;22;16
1046;16;11;28;17
1047;19;9;24;15
1048;16;11;26;15
1049;17;12;18;16
1050;15;13;28;15
1051;16;12;21;14
1052;11;13;21;17
1053;16;12;21;11
1054;12;12;22;16
1055;14;10;21;16
1056;18;9;26;13
1057;11;7;27;15
1058;16;13;26;17
1059;13;8;24;13
1060;12;11;21;17
1061;12;7;24;16
1062;15;7;22;11
1063;16;12;23;16
1064;13;12;21;16
1065;17;9;21;15
1066;13;9;18;16
1067;11;7;24;12
1068;15;8;19;17
1069;13;7;24;16
1070;16;13;23;14
1071;17;11;24;16
1072;17;7;26;11
1073;16;8;27;12
1074;19;7;19;11
1075;15;11;28;12
1076;16;10;20;11
1077;17;7;27;15
1078;16;7;25;13
1079;13;9;23;12
1080;15;11;20;17
1081;15;7;25;15
1082;13;11;21;12
1083;11;10;18;15
1084;11;8;26;17
1085;15;9;23;12
1086;11;10;27;14
1087;12;10;18;16
1088;12;8;27;16
1089;14;13;24;11
1090;18;7;22;16
1091;17;9;25;17
1092;11;12;20;14
1093;13;10;22;11
1094;19;12;26;16
1095;18;13;28;16
1096;11;10;22;15
1097;13;8;18;12
1098;15;11;26;14
1099;17;10;18;14
1100;17;8;27;15
1101;11;7;22;12
1102;16;10;25;17
1103;11;7;28;16
1104;17;10;20;12
1105;12;9;28;14
1106;13;10;27;11
1107;14;11;20;17
1108;12;12;26;16
1109;14;8;23;16
1110;13;9;28;13
1111;19;12;27;13
1112;17;13;28;12
1113;13;9;19;11
1114;19;13;18;17
1115;16;11;18;16
1116;14;7;20;14
1117;19;9;20;12
1118;16;8;19;16
1119;14;8;19;11
1120;17;12;19;14
1121;11;11;19;12
1122;12;8;20;12
1123;17;11;19;12
1124;12;8;27;11
1125;14;12;25;11
1126;16;13;22;16
1127;16;7;19;11
1128;16;7;20;17
1129;18;13;18;17
1130;15;9;28;14
1131;15;13;20;15
1132;14;7;22;13
1133;11;9;22;15
1134;18;7;23;16
1135;15;12;22;15
1136;17;7;26;11
1137;15;11;27;11
1138;11;7;28;11
1139;13;11;26;12
1140;16;13;28;17
1141;13;12;20;15
1142;12;8;19;14
1143;18;13;20;12
1144;11;11;23;17
1145;13;8;22;11
1146;19;8;22;11
1147;18;11;21;17
1148;17;8;20;16
1149;13;9;23;12
1150;13;13;26;15
1151;19;9;26;16
1152;13;12;21;12
1153;16;10;25;15
1154;16;8;25;14
1155;17;13;20;11
1156;17;8;23;17
1157;12;8;20;14
1158;16;11;25;11
1159;14;10;24;16
1160;13;10;19;11
1161;13;12;22;13
1162;14;7;24;13
1163;17;13;23;12
1164;16;9;18;12
1165;11;10;20;12
1166;14;10;21;15
1167;11;11;21;13
1168;11;13;25;11
1169;13;7;28;13
1170;18;7;22;15
1171;15;10;21;16
1172;13;10;26;16
1173;16;8;27;17
1174;17;9;22;13
1175;19;9;23;14
1176;16;11;27;11
1177;14;9;18;17
1178;15;12;26;14
1179;11;10;19;13
1180;17;7;24;17
1181;14;11;20;13
1182;17;11;24;14
1183;11;7;22;14
1184;16;13;21;13
1185;15;8;23;13
1186;14;7;21;17
1187;18;11;24;16
1188;13;12;28;16
1189;11;8;21;12
1190;16;7;24;17
1191;19;8;18;16
1192;14;9;25;13
1193;18;10;19;17
1194;17;7;18;11
1195;14;12;26;13
1196;12;7;27;17
1197;17;7;28;12
1198;16;8;22;16
1199;19;11;22;12
1200;18;8;18;13
1201;11;12;28;13
1202;14;8;20;12
1203;17;8;26;11
1204;16;12;22;12
1205;16;13;25;12
1206;16;13;24;15
1207;15;9;27;15
1208;15;11;24;15
1209;13;10;24;12
1210;18;10;27;17
1211;18;10;26;11
1212;15;9;20;12
1213;13;8;24;11
1214;17;9;24;15
1215;15;13;20;14
1216;11;13;22;16
1217;18;11;24;17
1218;19;13;25;17
1219;12;7;18;17
1220;18;8;18;15
1221;17;12;25;13
1222;13;10;23;17
1223;14;7;23;13
1224;15;10;28;16
1225;13;13;18;12
1226;19;11;22;17
1227;13;10;24;12
1228;12;7;18;15
1229;15;11;18;11
1230;18;7;28;14
1231;14;10;18;13
1232;19;9;21;15
1233;17;7;26;15
1234;17;10;26;16
1235;19;7;28;12
1236;19;10;24;16
1237;12;11;24;15
1238;11;10;26;14
1239;19;7;28;17
1240;17;12;21;17
1241;16;10;24;15
1242;14;12;28;17
1243;14;9;27;13
1244;12;8;24;11
1245;12;10;18;15
1246;16;7;18;14
1247;18;8;25;15
1248;12;13;19;15
1249;17;10;20;15
1250;13;7;19;14
1251;15;7;24;12
1252;12;7;22;12
1253;16;7;19;12
1254;16;9;18;17
1255;18;9;21;11
1256;18;8;25;15
1257;17;7;22;13
1258;12;8;25;14
1259;19;8;23;17
1260;12;11;24;13
1261;14;11;27;11
1262;15;8;27;12
1263;17;9;25;14
1264;15;8;26;17
1265;11;12;25;11
1266;18;12;22;11
1267;11;10;25;16
1268;11;13;25;15
1269;12;13;19;15
1270;19;12;18;11
1271;18;9;22;14
1272;17;8;23;13
1273;11;13;19;16
1274;11;9;22;11
1275;13;8;22;17
1276;11;10;22;13
1277;19;8;20;14
1278;14;13;23;12
1279;16;8;22;13
1280;13;9;25;12
1281;11;12;24;11
1282;12;11;21;14
1283;15;10;25;13
1284;13;9;22;17
1285;17;10;22;15
1286;13;12;21;12
1287;19;10;25;13
1288;15;10;22;12
1289;17;11;27;11
1290;18;7;20;14
1291;14;12;21;13
1292;16;11;20;11
1293;12;12;28;15
1294;19;11;19;11
1295;17;10;24;14
1296;19;11;23;12
1297;18;13;23;16
1298;13;10;26;16
1299;13;9;27;14
1300;13;10;27;13
1301;13;9;19;13
1302;11;11;23;14
1303;18;11;20;14
1304;15;11;25;16
1305;19;13;28;11
1306;12;8;28;12
1307;18;8;21;15
1308;16;7;19;12
1309;15;9;22;15
1310;17;8;26;13
1311;18;9;25;14
1312;17;7;23;14
1313;17;12;22;17
1314;17;11;18;17
1315;16;11;26;15
1316;16;7;25;13
1317;15;7;23;17
1318;18;8;20;15
1319;15;7;27;14
1320;17;8;18;11
1321;12;9;26;12
1322;14;9;19;16
1323;19;11;28;15
1324;14;12;25;12
1325;13;8;21;16
1326;16;12;18;14
1327;13;12;28;15
1328;15;11;19;13
1329;11;10;18;16
1330;11;13;27;11
1331;17;7;19;14
1332;14;9;22;16
1333;14;10;22;11
1334;19;13;21;11
1335;13;7;20;11
1336;11;10;20;11
1337;13;11;28;17
1338;15;11;22;15
1339;15;7;26;15
1340;16;13;20;15
1341;11;11;26;15
1342;17;7;21;17
1343;12;8;20;15
1344;16;10;24;14
1345;11;9;19;11
1346;14;10;26;11
1347;17;8;25;14
1348;19;10;26;12
1349;12;8;20;11
1350;12;10;20;11
1351;15;9;26;15
1352;18;10;23;14
1353;17;7;25;17
1354;17;8;25;14
1355;18;9;26;14
1356;19;12;24;13
1357;16;12;20;11
